Tamanho,Rodada,Tempo,Trocas,Iteracoes
1000,1,13860700,0,1002868
1000,2,5326800,0,1004674
1000,3,12686600,0,1004431
1000,4,10133400,0,1001240
1000,5,10655200,0,1001661
1000,Média,10532540,0,1002974
10000,1,7844700,0,1049384
10000,2,8787900,0,1049856
10000,3,7841600,0,1049935
10000,4,8759300,0,1049753
10000,5,7919600,0,1049973
10000,Média,8230620,0,1049780
100000,1,83226900,0,1499988
100000,2,12276000,0,1499974
100000,3,9004800,0,1499982
100000,4,10589500,0,1499972
100000,5,14709200,0,1499978
100000,Média,25961280,0,1499978
500000,1,57128600,0,3499996
500000,2,61643600,0,3499993
500000,3,88419600,0,3499996
500000,4,75070100,0,3499996
500000,5,102845300,0,3499995
500000,Média,77021440,0,3499995
1000000,1,180108200,0,5999997
1000000,2,205853500,0,5999997
1000000,3,142397400,0,5999996
1000000,4,161840200,0,5999996
1000000,5,123170500,0,5999996
1000000,Média,162673960,0,5999996

