Tamanho,Rodada,Tempo,Trocas,Iteracoes
1000,1,6674100,4341,19952
1000,2,354200,4325,19952
1000,3,238600,4317,19952
1000,4,270000,4283,19952
1000,5,255300,4310,19952
1000,Média,1558440,4315,19952
10000,1,2883800,59367,267232
10000,2,2880600,59046,267232
10000,3,2815800,59088,267232
10000,4,2913500,59063,267232
10000,5,2865900,59192,267232
10000,Média,2871920,59151,267232
100000,1,62357000,760049,3337856
100000,2,27383500,759920,3337856
100000,3,75916500,759830,3337856
100000,4,23506300,759839,3337856
100000,5,34500200,759716,3337856
100000,Média,44732700,759870,3337856
500000,1,188673700,4389308,18951424
500000,2,121544500,4389178,18951424
500000,3,140517000,4389712,18951424
500000,4,154555300,4389864,18951424
500000,5,143534900,4390481,18951424
500000,Média,149765080,4389708,18951424
1000000,1,278641100,9278985,39902848
1000000,2,319304700,9279239,39902848
1000000,3,314095500,9280093,39902848
1000000,4,360140700,9280768,39902848
1000000,5,296187500,9280315,39902848
1000000,Média,313673900,9279880,39902848
